Response,Status,Default Threshold/hour,Interpretation,Preferred Interpretation
00,Approved,Infinite," The transaction has gone through, and the sale is officially complete. All the other codes on this list deal with credit card declined codes (complete with tips on how to troubleshoot them).",Transaction Successfully Processed. Please adopt other payment channels for subsequent transaction for similar frictionless transactions.
01,Refer to issuer,50, The transaction was rejected with no reason provided. The fix requires contacting the card-issuing bank for an explanation.,"Your transaction was declined and we are unable to to provide a precise reason, please reach out to us your issuer through our customer care line or through your relationship manager for prompt advise or resolution."
02,Refer to issuer (special condition),50, The user?s bank rejected the transaction. You must contact the bank for the explanation and fix.,"Your transaction was declined and we are unable to to provide a precise reason, please reach out to us your issuer through our customer care line or through your relationship manager for prompt advise or resolution."
03,Invalid merchant,50, This code arises if the payment information is entered incorrectly or if your merchant account or credit card terminal isn?t configured properly. Try running the sale again ? or contacting your payment processor directly.,Your transaction was declined due to an issue that is related to the settings of the payment channel that your merchant has provided to you. Please engage the merchant to provide an alternative channel as we are sure that your payment devise is in good condition to make a payment.
04,Pick up card,50," The transaction was rejected, and you (the merchant) are instructed to hold onto the card until you have a chance to contact the customer?s bank.",Your transaction was decline and you will have to allow the merchant to make neccesary enquiries from your issuer. Please engage the merchant as appopriate.
05,Do not honor,50, The user?s bank instructs you not to accept payment ? until you (the merchant) contact the bank directly.,Your transaction was decline and you will have to allow the merchant to make neccesary enquiries from your issuer. Please engage the merchant as appopriate.
06,Error,50, The card-issuing bank detected an error but can?t specify what it is. You can try the card again or call the bank directly for further instructions.,"Your transaction was declined and we are unable to to provide a precise reason, please reach out to us your issuer through our customer care line or through your relationship manager for prompt advise or resolution."
07,Pick up card (special condition),50, The card-issuing bank has detected fraud. Both parties should contact the bank before using the card again.,Your transaction was decline and you will have to allow the merchant to make neccesary enquiries from your issuer. Please engage the merchant as appopriate.
08,Honour With Identification,Infinite,Transaction processed successfully - identification is NOT actually required for online transactions. This code is returned by some banks in place of 00 response.,Transaction Successfully Processed. Please adopt other payment channels for subsequent transaction for similar frictionless transactions.
10,Partial Amount Approval,50, The card-issuing bank only accepted a portion of the payment ? normally due to insufficient funds or credit limits.,Your transaction has been partly approved. Please review your account and engage the merchant to know what is next to settle the rest of the bill.
12,Invalid Transaction,50, The sale was rejected due to any number of issues (like when trying to reverse a charge). You can try the transaction again or call the card-issuing bank directly.,Your transaction was declined because your issuer might not support this type of transaction on the card or your type of account you maintained.
13,Invalid Amount,50," The transaction was declined ? often because of invalid characters or symbols (e.g., # or &). Try inputting the amount again and see if the sale goes through.",Your transaction was declined because there might be an error in the way the transaction amount was inputted. Please advise the attendant to retry with right transaction amount.
14,Invalid Card Number,50," This is similar to the above, but instead of an incorrect amount, the card account number is wrong. Try initiating the sale again. If that fails, contact the bank directly.",Your transaction was declined because there might be an error in the way the card details was inputted. Please retry the transaction while inputing the correct card details.
15,No Such Issuer,50, The first digit of the card number was entered incorrectly. Try running the sale again by re-entering the account number more carefully., Your transaction was declined because the first digit of the card number was entered incorrectly. Try running the transaction again by re-entering the card more carefully.
17,Customer Cancellation,50, The customer has voided or reversed the transaction. The sale will not go through unless you use a different payment method.,Your transaction was declined because customer has voided or reversed the transaction. Please use a different payment method.
